Filename,Preamble Snippet
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.txt,"EXHIBIT 10.6

                              DISTRIBUTOR AGREEMENT

         THIS  DISTRIBUTOR  AGREEMENT (the  ""Agreement"")  is made by and between Electric City Corp.,  a Delaware  corporation  (""Company"")  and Electric City of Illinois LLC (""Distributor"") this 7th day of September, 1999.

                                    RECITALS

         A. The  Company's  Business.  The Company is  presently  engaged in the business  of selling an energy  efficiency  device,  which is  referred to as an "
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT.txt","Exhibit 10.26    CONFIDENTIAL TREATMENT HAS BEEN REQUESTED AS TO CERTAIN PORTIONS OF THIS DOCUMENT. EACH SUCH PORTION,  WHICH HAS BEEN OMITTED HEREIN AND REPLACED WITH AN ASTERISK [*], HAS BEEN FILED SEPARATELY WITH THE  SECURITIES AND EXCHANGE COMMISSION.     PROMOTION AND DISTRIBUTION AGREEMENT     This Promotion and Distribution Agreement including all exhibits (collectively referred to as the ""Agreement""), effective as of 1 August 2011 (the  ""Effective Date""), is made by and between Whitesmo"
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.txt,"Exhibit 10.16 SUPPLY CONTRACT Contract No: Date: The buyer/End-User: Shenzhen LOHAS Supply Chain Management Co., Ltd. ADD: Tel No. : Fax No. : The seller: ADD: The Contract is concluded and signed by the Buyer and Seller on , in Hong Kong. 1. General provisions 1.1 This is a framework agreement, the terms and conditions are applied to all purchase orders which signed by this agreement (hereinafter referred to as the ""order""). 1.2 If the provisions of the agreement are inconsistent with the order"
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.txt,"1                                                                     Exhibit 10.3

I-on. (LOGO) www.i-on.com 561.394.9484 o 561.394-9773 fax 1733 avenida del sol, boca raton, florida, 33432

WEB SITE HOSTING AGREEMENT

This WEB SITE HOSTING AGREEMENT (""this Agreement"") is entered into this 6th day of April, 1999 by and between Centrack International, a Florida corporation (""the Customer""), and i-on interactive, a Florida corporation (""i-on"").

DEFINITIONS

As used in this Agreement, the term ""W"
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.txt,"Exhibit 1

JOINT FILING AGREEMENT

The undersigned hereby agree to jointly prepare and file with the applicable regulatory authorities this Schedule 13G or Schedule 13D and any future amendments thereto reporting each of the undersigned's ownership of securities of the issuer named herein, and hereby affirm that such Schedule 13G or Schedule 13D is being filed on behalf of each of the undersigned pursuant to and in accordance with the provisions of Rule 13d-1(k) under the Securities Exchange Act"
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.txt,"REDACTED COPY

CONFIDENTIAL TREATMENT REQUESTED

CONFIDENTIAL PORTIONS OF THIS

DOCUMENT HAVE BEEN REDACTED

AND HAVE BEEN SEPARATELY

FILED WITH THE COMMISSION

  1





ENDORSEMENT AGREEMENT

This Agreement is entered into on January 13, 2005 between professional golfer, TOM WATSON, (hereinafter referred to as ""CONSULTANT"") and ADAMS GOLF, LTD. (hereinafter referred to as ""ADAMS GOLF"").

WITNESSETH

WHEREAS, ADAMS GOLF desires to obtain the right to use the name, likeness and ENDORSEMENT of CO"
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.txt","Exhibit 10.23 Corporate Address Fannin South Professional Building, Suite 140 7707 Fannin Street Houston, Texas 77054 t: 832.968.4888

CONSULTING AGREEMENT

July 20, 2018

Gianluca Rotino

Dear Gianluca:

Kiromic, Inc, a Delaware corporation (the ""Company""), is pleased to this offer to this Consulting Agreement (this ""Agreement"") to retain Gianluca Rotino (""Consultant"") to perform certain consulting activities as described below on the following terms:

1. Services and Compensation. Consultant a"
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.txt","Exhibit 10.11

AMENDMENT AND TERMINATION

OF

JOINT VENTURE AGREEMENT

This AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT (this ""Amendment"") is made and entered into effective as of October 30, 2019 (the ""Effective Date"") by and among (1) Veoneer AB, a Swedish corporation (""Veoneer AB"") and Veoneer US, Inc., a Delaware corporation (""Veoneer US"" and together with Veoneer AB, the ""Veoneer Parties""), and (2) Nissin Kogyo Co., Ltd., a Japanese corporation (""Nissin""), Nissin Kogyo Holdings USA"
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.txt,"Exhibit 10.2

______________________________________________________________________________

CO-PROMOTION AGREEMENT

by and between

DOVA PHARMACEUTICALS, INC.

and

VALEANT PHARMACEUTICALS NORTH AMERICA LLC

September 26, 2018

______________________________________________________________________________

CONFIDENTIAL TREATMENT HAS BEEN REQUESTED FOR PORTIONS OF THIS EXHIBIT. THE COPY FILED HEREWITH OMITS THE INFORMATION SUBJECT TO A CONFIDENTIALITY REQUEST. OMISSIONS ARE DESIGNATED [***]. A "
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT .txt","Exhibit 10.13

Confidential Materials omitted and filed separately with the Securities and Exchange Commission. Asterisks denote omissions.

DATED: OCTOBER 15, 2009

PACIRA PHARMACEUTICALS, INC.

and

EKR THERAPEUTICS, INC.        AMENDED AND RESTATED   STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT





THIS AMENDED AND RESTATED STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT (the  ""Agreement"") is made on October 15, 2009 (the ""Agreement Date"") and is effective as of the Ef"
